DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/12/2004,Sat,UEFA Euro,Group stage,Home,L 1–2,pt Portugal,gr Greece,N,,45,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/16/2004,Wed,UEFA Euro,Group stage,Away,W 2–0,pt Portugal,ru Russia,N,,13,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/20/2004,Sun,UEFA Euro,Group stage,Away,W 1–0,pt Portugal,es Spain,Y,,84,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/24/2004,Thu,UEFA Euro,Quarter-finals,Home,D 2 (6)–2 (5),pt Portugal,eng England,Y,,120,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/30/2004,Wed,UEFA Euro,Semi-finals,Home,W 2–1,pt Portugal,nl Netherlands,Y,,66,1,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,7/4/2004,Sun,UEFA Euro,Final,Home,L 0–1,pt Portugal,gr Greece,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/4/2004,Sat,WCQ,First round,Away,W 2–0,pt Portugal,lv Latvia,Y,,81,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/8/2004,Wed,WCQ,First round,Home,W 4–0,pt Portugal,ee Estonia,Y,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/9/2004,Sat,WCQ,First round,Away,D 2–2,pt Portugal,li Liechtenstein,Y,,61,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/13/2004,Wed,WCQ,First round,Home,W 7–1,pt Portugal,ru Russia,Y,,84,2,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/17/2004,Wed,WCQ,First round,Away,W 5–0,pt Portugal,lu Luxembourg,Y,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/30/2005,Wed,WCQ,First round,Away,D 1–1,pt Portugal,sk Slovakia,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/4/2005,Sat,WCQ,First round,Home,W 2–0,pt Portugal,sk Slovakia,Y,,75,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/8/2005,Wed,WCQ,First round,Away,W 1–0,pt Portugal,ee Estonia,Y,,87,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/3/2005,Sat,WCQ,First round,Home,W 6–0,pt Portugal,lu Luxembourg,Y,,61,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/7/2005,Wed,WCQ,First round,Away,D 0–0,pt Portugal,ru Russia,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/8/2005,Sat,WCQ,First round,Home,W 2–1,pt Portugal,li Liechtenstein,Y,,83,0,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/12/2005,Wed,WCQ,First round,Home,W 3–0,pt Portugal,lv Latvia,Y,,45,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/11/2006,Sun,World Cup,Group stage,Neutral,W 1–0,pt Portugal,ao Angola,Y,,59,0,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/17/2006,Sat,World Cup,Group stage,Neutral,W 2–0,pt Portugal,ir IR Iran,Y,,90,1,,1,1,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/25/2006,Sun,World Cup,Round of 16,Neutral,W 1–0,pt Portugal,nl Netherlands,Y,,33,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,7/1/2006,Sat,World Cup,Quarter-finals,Neutral,D 0 (3)–0 (1),pt Portugal,eng England,Y,,120,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,7/5/2006,Wed,World Cup,Semi-finals,Neutral,L 0–1,pt Portugal,fr France,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,7/8/2006,Sat,World Cup,Third-place match,Neutral,L 1–3,pt Portugal,de Germany,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/6/2006,Wed,UEFA Euro Qualifying,Group stage,Away,D 1–1,pt Portugal,fi Finland,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/7/2006,Sat,UEFA Euro Qualifying,Group stage,Home,W 3–0,pt Portugal,az Azerbaijan,Y,,72,2,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/11/2006,Wed,UEFA Euro Qualifying,Group stage,Away,L 1–2,pt Portugal,pl Poland,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/15/2006,Wed,UEFA Euro Qualifying,Group stage,Home,W 3–0,pt Portugal,kz Kazakhstan,Y,,55,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/24/2007,Sat,UEFA Euro Qualifying,Group stage,Home,W 4–0,pt Portugal,be Belgium,Y,,77,2,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/28/2007,Wed,UEFA Euro Qualifying,Group stage,Away,D 1–1,pt Portugal,rs Serbia,Y,,90,0,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
