DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
4-Feb-03,192,Rasmus Hojlund,9/22/2022,Thu,UEFA Nations League,League A,Away,L 1–2,dk Denmark,hr Croatia,N,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,9/25/2022,Sun,UEFA Nations League,League A,Home,W 2–0,dk Denmark,fr France,N,,32,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Feb-03,192,Rasmus Hojlund,3/23/2023,Thu,UEFA Euro Qualifying,Group stage,Home,W 3–1,dk Denmark,fi Finland,Y,FW,90,3,0,0,0,7,6,0,0,0,1,1,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,3/26/2023,Sun,UEFA Euro Qualifying,Group stage,Away,L 2–3,dk Denmark,kz Kazakhstan,Y,FW,90,2,0,0,0,4,3,1,0,2,3,0,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,6/16/2023,Fri,UEFA Euro Qualifying,Group stage,Home,W 1–0,dk Denmark,nir Northern Ireland,Y,FW,89,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,6/19/2023,Mon,UEFA Euro Qualifying,Group stage,Away,D 1–1,dk Denmark,si Slovenia,Y,FW,70,1,0,0,0,1,1,0,0,3,0,0,1,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,9/7/2023,Thu,UEFA Euro Qualifying,Group stage,Home,W 4–0,dk Denmark,sm San Marino,N,,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,9/10/2023,Sun,UEFA Euro Qualifying,Group stage,Away,W 1–0,dk Denmark,fi Finland,N,,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,10/14/2023,Sat,UEFA Euro Qualifying,Group stage,Home,W 3–1,dk Denmark,kz Kazakhstan,Y,FW,89,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,10/17/2023,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–1,dk Denmark,sm San Marino,Y,FW,89,1,0,0,0,3,1,0,0,3,4,0,0,0,0,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Feb-03,192,Rasmus Hojlund,3/23/2024,Sat,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,ch Switzerland,Y,FW,83,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
4-Feb-03,192,Rasmus Hojlund,3/26/2024,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,fo Faroe Islands,N,,15,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
