Name,,Position,Age,Ht,Wt(Kg),Country
Kasper Schmeichel,1,Goalkeeper,37,"6'2""",89,Denmark
Simon Kjaer,4,Defender,35,"6'3""",86,Denmark
Thomas Delaney,8,Midfielder,33,"5'10""",79,Denmark
Christian Eriksen,10,Midfielder,32,"5'11""",65,Denmark
Jannik Vestergaard,3,Defender,32,"6'6""",98,Denmark
Christian Norgaard,15,Midfielder,30,"6'1""",77,Denmark
Yussuf Poulsen,20,Forward,30,"6'3""",84,Denmark
Frederik Ronnow,22,Goalkeeper,32,"6'2""",77,Denmark
Pierre-Emile Hojbjerg,23,Midfielder,29,"6'1""",84,Denmark
Andreas Christensen,6,Defender,28,"6'3""",82,Denmark
Andreas Hansen,1,Goalkeeper,29,"6'0""",70,Denmark
Jacob Rasmussen,6,Defender,27,"6'2""",81,Denmark
Kasper Dolberg,12,Forward,26,"6'1""",82,Denmark
Joachim Andersen,2,Defender,28,"6'3""",87,Denmark
Anders Dreyer,24,Midfielder,26,"5'8""",69,Denmark
Mathias Jensen,7,Midfielder,28,"5'10""",68,Denmark
Mads Roerslev Rasmussen,18,Defender,25,"5'9""",72,Denmark
Jonas Wind,19,Forward,25,"6'2""",82,Denmark
Joakim Maehle,5,Defender,27,"6'0""",79,Denmark
Victor Nelsson,13,Defender,25,"6'0""",78,Denmark
Alexander Bah,18,Defender,26,"6'0""",76,Denmark
Morten Hjulmand,21,Midfielder,25,"6'0""",77,Denmark
Mads Hermansen,16,Goalkeeper,24,"6'1""",78,Denmark
Andreas Olsen,11,Forward,24,"6'1""",79,Denmark
Matt O'Riley,15,Midfielder,23,"6'1""",-,Denmark
Mikkel Damsgaard,14,Forward,24,"5'10""",70,Denmark
Gustav Isaksen,25,Midfielder,23,"5'10""",68,Denmark
Mohammed Daramy,11,Forward,22,-,-,Denmark
Rasmus Hojlund,9,Forward,21,"6'3""",-,Denmark
Victor Kristiansen,17,Defender,21,"5'11""",-,Denmark
Elias Jelert Kristensen,26,Defender,21,"5'10""",-,Denmark
Etrit Berisha,1,Goalkeeper,35,"6'4""",82,Albania
Sokol Cikalleshi,16,Forward,34,"6'0""",79,Albania
Elseid Hysaj,4,Defender,30,"5'11""",70,Albania
Frederic Veseli,5,Defender,31,"6'0""",80,Albania
Berat Djimsiti,6,Defender,31,"6'2""",83,Albania
Ivan Balliu,2,Defender,32,"5'7""",63,Albania
Thomas Strakosha,23,Goalkeeper,29,"6'3""",80,Albania
Taulant Seferi Sulejmanov,15,Midfielder,27,"5'9""",75,Albania
Elhan Kastrati,12,Goalkeeper,27,"6'2""",82,Albania
Qazim Laci,14,Midfielder,28,"5'8""",67,Albania
Naser Aliji,25,Defender,30,"5'9""",73,Albania
Jasir Asani,9,Forward,29,"5'8""",62,Albania
Keidi Bare,7,Midfielder,26,"5'8""",66,Albania
Myrto Uzuni,18,Forward,29,"5'10""",72,Albania
Alen Sherri,1,Goalkeeper,26,-,-,Albania
Rey Manaj,8,Forward,27,"5'11""",70,Albania
Marash Kumbulla,24,Defender,24,"6'0""",78,Albania
Nedim Bajrami,10,Midfielder,25,"5'10""",68,Albania
Ylber Ramadani,20,Midfielder,28,"6'0""",-,Albania
Enea Mihaj,13,Defender,26,"6'1""",86,Albania
Arbnor Mucolli,19,Midfielder,24,"5'8""",-,Albania
Arber Hoxha,26,Forward,25,"6'0""",-,Albania
Armando Broja,22,Forward,22,"6'3""",74,Albania
Ernest Muci,17,Forward,23,"5'10""",-,Albania
Jon Mersinaj,18,Defender,25,"6'0""",-,Albania
Mario Mitaj,3,Midfielder,20,"6'0""",-,Albania
Kristjan Asllani,21,Midfielder,22,"5'8""",63,Albania
Andreas Weimann,7,Forward,33,"5'10""",76,Austria
Michael Gregoritsch,11,Forward,30,"6'3""",91,Austria
Stefan Lainer,21,Defender,32,"5'8""",73,Austria
Marcel Sabitzer,9,Midfielder,30,"5'10""",76,Austria
Philipp Mwene,16,Defender,30,"5'7""",68,Austria
Florian Grillitsch,10,Midfielder,29,"6'1""",77,Austria
Alexander Schlager,1,Goalkeeper,28,"6'0""",77,Austria
Patrick Pentz,13,Goalkeeper,27,"6'0""",80,Austria
Stefan Posch,5,Defender,27,"6'2""",82,Austria
Konrad Laimer,20,Midfielder,27,"5'10""",72,Austria
Xaver Schlager,4,Midfielder,26,"5'8""",76,Austria
Philipp Lienhart,15,Defender,28,"6'2""",83,Austria
Kevin Danso,3,Defender,25,"6'2""",85,Austria
Maximilian Wober,2,Defender,26,"6'2""",84,Austria
Maximilian Entrup,23,Forward,27,"6'1""",75,Austria
Christoph Baumgartner,19,Midfielder,25,"5'10""",73,Austria
Romano Schmid,18,Midfielder,24,"5'6""",73,Austria
Muhammed-Cham Saracevic,25,Midfielder,23,"5'10""",67,Austria
Flavius Daniliuc,24,Defender,23,"6'2""",-,Austria
Nicolas Seiwald,6,Midfielder,23,"5'10""",70,Austria
Tobias Lawal,12,Goalkeeper,24,"6'4""",84,Austria
Patrick Wimmer,17,Midfielder,23,"5'11""",77,Austria
Alexander Prass,8,Midfielder,23,"5'10""",-,Austria
Matthias Seidl,22,Midfielder,23,-,-,Austria
Leopold Querfeld,14,Defender,20,"6'2""",83,Austria
Christoph Lang,26,Forward,22,"5'10""",71,Austria
Jan Vertonghen,5,Defender,37,"6'2""",79,Belgium
Thomas Kaminski,12,Goalkeeper,31,"6'2""",70,Belgium
