ID,SHIRT_N,AGE,ACTUAL AGE,HEIGHT,FOOT,SQUAD_RANKING,OPPONENT RANKING,M_WEEKDAY,M_MONTH,M_SEASON,YEAR,COMPETITION_N,ROUND_N,VENUE_N,STARTER,STRIKER,Penalty,Penalty_shooter,MINUTES,GOALS
PT-FW-CR39,7,19,39,187,1,9,18,7,6,2,2004,3,1,1,0,0,0,0,45,1
PT-FW-CR39,7,19,39,187,1,9,32,4,6,2,2004,3,1,2,0,0,0,0,13,0
PT-FW-CR39,7,19,39,187,1,9,5,1,6,2,2004,3,1,2,1,0,0,0,84,0
PT-FW-CR39,7,19,39,187,1,9,8,5,6,2,2004,3,3,1,1,0,0,0,120,0
PT-FW-CR39,7,19,39,187,1,9,6,4,6,2,2004,3,4,1,1,0,0,0,66,1
PT-FW-CR39,7,19,39,187,1,9,18,1,7,2,2004,3,5,1,1,0,0,0,90,0
PT-FW-CR39,7,20,39,187,1,9,65,7,9,3,2004,2,1,2,1,0,0,0,81,1
PT-FW-CR39,7,20,39,187,1,9,81,4,9,3,2004,2,1,1,1,0,0,0,90,1
PT-FW-CR39,7,20,39,187,1,9,142,7,10,3,2004,2,1,2,1,0,0,0,61,0
PT-FW-CR39,7,20,39,187,1,9,32,4,10,3,2004,2,1,1,1,0,0,0,84,2
PT-FW-CR39,7,20,39,187,1,9,155,4,11,3,2004,2,1,2,1,0,0,0,90,1
PT-FW-CR39,7,20,39,187,1,10,45,4,3,1,2005,2,1,2,1,0,0,0,90,0
PT-FW-CR39,7,20,39,187,1,10,45,7,6,2,2005,2,1,1,1,0,0,0,75,1
PT-FW-CR39,7,20,39,187,1,10,76,4,6,2,2005,2,1,2,1,0,0,0,87,1
PT-FW-CR39,7,21,39,187,1,10,150,7,9,3,2005,2,1,1,1,0,0,0,61,0
PT-FW-CR39,7,21,39,187,1,10,34,4,9,3,2005,2,1,2,1,0,0,0,90,0
PT-FW-CR39,7,21,39,187,1,10,122,7,10,3,2005,2,1,1,1,0,0,0,83,0
PT-FW-CR39,7,21,39,187,1,10,69,4,10,3,2005,2,1,1,1,0,0,0,45,0
PT-FW-CR39,7,21,39,187,1,8,55,1,6,2,2006,4,1,3,1,0,0,0,59,0
PT-FW-CR39,7,21,39,187,1,8,38,7,6,2,2006,4,1,3,1,0,1,1,90,1
PT-FW-CR39,7,21,39,187,1,8,7,1,6,2,2006,4,2,3,1,0,0,1,33,0
PT-FW-CR39,7,21,39,187,1,8,5,7,7,2,2006,4,3,3,1,0,0,1,120,0
PT-FW-CR39,7,21,39,187,1,8,4,4,7,2,2006,4,4,3,1,0,0,1,90,0
PT-FW-CR39,7,21,39,187,1,8,6,7,7,2,2006,4,4,3,1,0,0,1,90,0
PT-FW-CR39,7,22,39,187,1,8,52,4,9,3,2006,2,1,2,1,0,0,1,90,0
PT-FW-CR39,7,22,39,187,1,8,125,7,10,3,2006,2,1,1,1,0,0,1,72,2
PT-FW-CR39,7,22,39,187,1,8,24,4,10,3,2006,2,1,2,1,0,0,1,90,0
PT-FW-CR39,7,22,39,187,1,8,135,4,11,3,2006,2,1,1,1,0,0,1,55,1
PT-FW-CR39,7,22,39,187,1,8,49,7,3,1,2007,2,1,1,1,0,0,1,77,2
PT-FW-CR39,7,22,39,187,1,8,27,4,3,1,2007,2,1,2,1,0,0,1,90,0
PT-FW-CR39,7,23,39,187,1,8,93,4,8,2,2007,2,1,2,1,0,0,1,90,1
PT-FW-CR39,7,23,39,187,1,8,22,7,9,3,2007,2,1,1,1,0,0,1,90,1
PT-FW-CR39,7,23,39,187,1,8,27,4,9,3,2007,2,1,1,1,0,0,1,90,0
PT-FW-CR39,7,23,39,187,1,8,115,7,10,3,2007,2,1,2,1,0,0,1,90,0
PT-FW-CR39,7,23,39,187,1,8,112,4,10,3,2007,2,1,2,1,0,0,1,90,1
PT-FW-CR39,7,23,39,187,1,8,93,7,11,3,2007,2,1,1,1,0,0,1,90,0
PT-FW-CR39,7,23,39,187,1,8,36,4,11,3,2007,2,1,1,1,0,0,1,90,0
PT-FW-CR39,7,23,39,187,1,11,10,7,6,2,2008,3,1,1,1,0,0,1,90,0
PT-FW-CR39,7,23,39,187,1,11,11,4,6,2,2008,3,1,2,1,0,0,1,90,1
PT-FW-CR39,7,23,39,187,1,11,2,5,6,2,2008,3,3,1,1,0,0,1,90,0
PT-FW-CR39,7,24,39,187,1,11,32,7,10,3,2008,2,1,2,1,0,0,1,90,0
PT-FW-CR39,7,24,39,187,1,11,81,4,10,3,2008,2,1,1,1,0,0,1,90,0
PT-FW-CR39,7,24,39,187,1,5,42,7,3,1,2009,2,1,1,1,0,0,1,90,0
