id,Position,Name,actual_age,Club Team,national_id,Country
ENG-GK-JP30,GK,Jordan Pickford,30,Everton,ENG,England
ENG-GK-AR26,GK,Aaron Ramsdale,26,Arsenal,ENG,England
ENG-GK-DH27,GK,Dean Henderson,27,Crystal Palace,ENG,England
ENG-GK-JT21,GK,James Trafford,21,Burnley,ENG,England
ENG-DF-LS28,DF,Luke Shaw,28,Manchester United,ENG,England
ENG-DF-KT33,DF,Kieran Trippier,33,Newcastle United,ENG,England
ENG-DF-JG27,DF,Joe Gomez,27,Liverpool,ENG,England
ENG-DF-JQ21,DF,Jarrell Quansah,21,Liverpool,ENG,England
ENG-DF-MG23,DF,Marc Guehi,23,Crystal Palace,ENG,England
ENG-DF-KW34,DF,Kyle Walker,34,Manchester City,ENG,England
ENG-MF-JB22,DF,Jarrad Branthwaite,22,Everton,ENG,England
ENG-DF-LD32,DF,Lewis Dunk,32,Brighton,ENG,England
ENG-DF-HM31,DF,Harry Maguire,31,Manchester United,ENG,England
ENG-DF-EK26,DF,Ezri Konsa,26,Aston Villa,ENG,England
ENG-DF-JS30,DF,John Stones,30,Manchester City,ENG,England
ENG-MF-JB21,MF,Jude Bellingham,20,Real Madrid,ENG,England
ENG-MF-TA25,MF,Trent Alexander-Arnold,25,Liverpool,ENG,England
ENG-MF-DR25,MF,Declan Rice,25,Arsenal,ENG,England
ENG-MF-PF24,MF,Phil Foden,24,Manchester City,ENG,England
ENG-MF-CG24,MF,Conor Gallagher,24,Chelsea,ENG,England
ENG-MF-CJ23,MF,Curtis Jones,23,Liverpool,ENG,England
ENG-MF-JM27,MF,James Maddison,27,Tottenham Hotspur,ENG,England
ENG-MF-EE25,MF,Eberechi Eze,25,Crystal Palace,ENG,England
ENG-MF-KM19,MF,Kobbie Mainoo,19,Manchester United,ENG,England
ENG-MF-CP22,MF,Cole Palmer,22,Chelsea,ENG,England
ENG-MF-AG23,MF,Anthony Gordon,23,Newcastle United,ENG,England
ENG-MF-AW20,MF,Adam Wharton,20,Crystal Palace,ENG,England
ENG-FW-HK31,FW,Harry Kane,30,Bayern Munich,ENG,England
ENG-MF-BS22,FW,Bukayo Saka,22,Arsenal,ENG,England
ENG-FW-JG28,FW,Jack Grealish,28,Manchester City,ENG,England
ENG-FW-JB27,FW,Jarrod Bowen,27,West Ham,ENG,England
ENG-FW-OW28,FW,Ollie Watkins,27,Aston Villa,ENG,England
AL-GK-EB35,GK,Etrit Berisha,35,Empoli,AL,Albania
AL-GK-TS29,GK,Thomas Strakosha,29,Brentford,AL,Albania
AL-GK-EK27,GK,Elhan Kastrati,27,Cittadella,AL,Albania
AL-GK-SS19,GK,Simon Simoni,19,Eintracht Frankfurt,AL,Albania
AL-DF-BD31,DF,Berat Djimsiti,31,Atalanta,AL,Albania
AL-DF-EH30,DF,Elseid Hysaj,30,Lazio,AL,Albania
AL-DF-IB32,DF,Iván Balliu,32,Rayo Vallecano,AL,Albania
AL-DF-AI27,DF,Ardian Ismajli,27,Empoli,AL,Albania
AL-DF-AA30,DF,Arlind Ajeti,30,CFR Cluj,AL,Albania
AL-DF-NA30,DF,Naser Aliji,30,Voluntari,AL,Albania
AL-MF-MM20,DF,Mario Mitaj,20,Lokomotiv Moscow,AL,Albania
AL-DF-EM26,DF,Enea Mihaj,25,Famalicão,AL,Albania
AL-DF-MK24,DF,Marash Kumbulla,24,Sassuolo,AL,Albania
AL-MF-AA34,MF,Amir Abrashi,34,Grasshoppers,AL,Albania
AL-MF-KA22,MF,Kristjan Asllani,22,Inter Milan,AL,Albania
AL-MF-NB25,MF,Nedim Bajrami,25,Sassuolo,AL,Albania
AL-MF-MB25,MF,Medon Berisha,25,Lecce,AL,Albania
AL-MF-KG34,MF,Klaus Gjasula,34,Darmstadt 98,AL,Albania
AL-MF-QL28,MF,Qazim Laçi,28,Sparta Prague,AL,Albania
AL-FW-EM23,MF,Ernest Muçi,23,Beşiktaş,AL,Albania
AL-MF-YR28,MF,Ylber Ramadani,28,Lecce,AL,Albania
AL-FW-JA29,FW,Jasir Asani,29,Gwangju FC,AL,Albania
AL-FW-AB22,FW,Armando Broja,22,Fulham,AL,Albania
AL-FW-MD20,FW,Mirlind Daku,20,Rubin Kazan,AL,Albania
AL-FW-AH25,FW,Arbër Hoxha,25,Dinamo Zagreb,AL,Albania
AL-FW-RM27,FW,Rey Manaj,27,Sivasspor,AL,Albania
AL-FW-TS27,FW,Taulant Seferi,27,Baniyas,AL,Albania
AT-GK-TL24,GK,Tobias Lawal,24,LASK,AT,Austria
AT-GK-PP27,GK,Patrick Pentz,27,Brondby,AT,Austria
AT-GK-HL33,GK,Heinz Lindner,33,Union Saint-Gilloise,AT,Austria
AT-GK-NH23,GK,Niklas Hedl,23,Rapid Wien,AT,Austria
AT-DF-SL32,DF,Stefan Lainer,31,Borussia Monchengladbach,AT,Austria
AT-DF-SP27,DF,Stefan Posch,27,Bologna,AT,Austria
AT-DF-MW26,DF,Max Wober,26,Borussia Monchengladbach,AT,Austria
AT-DF-PL28,DF,Philipp Lienhart,27,Freiburg,AT,Austria
AT-DF-KD25,DF,Kevin Danso,25,Lens,AT,Austria
AT-DF-PM30,DF,Phillipp Mwene,30,Mainz,AT,Austria
AT-DF-FD23,DF,Flavius Daniliuc,23,Red Bull Salzburg,AT,Austria
AT-DF-GT32,DF,Gernot Trauner,32,Feyenoord,AT,Austria
AT-DF-LQ20,DF,Leopold Querfeld,20,Rapid Wien,AT,Austria
AT-MF-MS30,MF,Marcel Sabitzer,30,Borussia Dortmund,AT,Austria
