id,Name,shirt_number,Position,Age,Ht (cm),Wt(Kg),national_id,Country
AL-DF-BD31,Berat Djimsiti,6,DF,31,188,83,AL,Albania
AL-DF-EH30,Elseid Hysaj,4,DF,30,180,70,AL,Albania
AL-DF-EM26,Enea Mihaj,13,DF,26,185,86,AL,Albania
AL-DF-FV31,Frédéric Veseli,5,DF,31,183,80,AL,Albania
AL-DF-IB32,Iván Balliu,2,DF,32,170,63,AL,Albania
AL-DF-JM25,Jon Mersinaj,18,DF,25,183,-,AL,Albania
AL-DF-MK24,Marash Kumbulla,24,DF,24,183,78,AL,Albania
AL-DF-NA30,Naser Aliji,25,DF,30,175,73,AL,Albania
AL-FW-AB22,Armando Broja,22,FW,22,191,74,AL,Albania
AL-FW-AH25,Arber Hoxha,26,FW,25,183,-,AL,Albania
AL-FW-EM23,Ernest Muçi,17,FW,23,178,-,AL,Albania
AL-FW-JA29,Jasir Asani,9,FW,29,173,62,AL,Albania
AL-FW-MU29,Myrto Uzuni,18,FW,29,178,72,AL,Albania
AL-FW-RM27,Rey Manaj,8,FW,27,180,70,AL,Albania
AL-FW-SC34,Sokol Cikalleshi,16,FW,34,183,79,AL,Albania
AL-GK-AS26,Alen Sherri,1,GK,26,197,-,AL,Albania
AL-GK-EB35,Etrit Berisha,1,GK,35,193,82,AL,Albania
AL-GK-EK27,Elhan Kastrati,12,GK,27,188,82,AL,Albania
AL-GK-TS29,Thomas Strakosha,23,GK,29,191,80,AL,Albania
AL-MF-AM24,Arbnor Mucolli,19,MF,24,173,-,AL,Albania
AL-MF-KA22,Kristjan Asllani,21,MF,22,173,63,AL,Albania
AL-MF-KB26,Keidi Bare,7,MF,26,173,66,AL,Albania
AL-MF-MM20,Mario Mitaj,3,MF,20,183,-,AL,Albania
AL-MF-NB25,Nedim Bajrami,10,MF,25,178,68,AL,Albania
AL-MF-QL28,Qazim Laçi,14,MF,28,173,67,AL,Albania
AL-MF-TS27,Taulant Seferi Sulejmanov,15,MF,27,175,75,AL,Albania
AL-MF-YR28,Ylber Ramadani,20,MF,28,183,-,AL,Albania
AT-DF-FD23,Flavius Daniliuc,24,DF,23,188,-,AT,Austria
AT-DF-KD25,Kevin Danso,3,DF,25,188,85,AT,Austria
AT-DF-LQ20,Leopold Querfeld,14,DF,20,188,83,AT,Austria
AT-DF-MW26,Maximilian Wöber,2,DF,26,188,84,AT,Austria
AT-DF-PL28,Philipp Lienhart,15,DF,28,188,83,AT,Austria
AT-DF-PM30,Philipp Mwene,16,DF,30,170,68,AT,Austria
AT-DF-SL32,Stefan Lainer,21,DF,32,173,73,AT,Austria
AT-DF-SP27,Stefan Posch,5,DF,27,188,82,AT,Austria
AT-FW-AW33,Andreas Weimann,7,FW,33,178,76,AT,Austria
AT-FW-CL22,Christoph Lang,26,FW,22,178,71,AT,Austria
AT-FW-ME27,Maximilian Entrup,23,FW,27,185,75,AT,Austria
AT-FW-MG30,Michael Gregoritsch,11,FW,30,191,91,AT,Austria
AT-GK-AS28,Alexander Schlager,1,GK,28,183,77,AT,Austria
AT-GK-PP27,Patrick Pentz,13,GK,27,183,80,AT,Austria
AT-GK-TL24,Tobias Lawal,12,GK,24,193,84,AT,Austria
AT-MF-AP23,Alexander Prass,8,MF,23,178,-,AT,Austria
AT-MF-CB25,Christoph Baumgartner,19,MF,25,178,73,AT,Austria
AT-MF-FG29,Florian Grillitsch,10,MF,29,185,77,AT,Austria
AT-MF-KL27,Konrad Laimer,20,MF,27,178,72,AT,Austria
AT-MF-MS23,Matthias Seidl,22,MF,23,175,-,AT,Austria
AT-MF-MS24,Muhammed-Cham Saracevic,25,MF,24,178,67,AT,Austria
AT-MF-MS30,Marcel Sabitzer,9,MF,30,178,76,AT,Austria
AT-MF-NS23,Nicolas Seiwald,6,MF,23,178,70,AT,Austria
AT-MF-PW23,Patrick Wimmer,17,MF,23,180,77,AT,Austria
AT-MF-RS24,Romano Schmid,18,MF,24,168,73,AT,Austria
AT-MF-XS26,Xaver Schlager,4,MF,26,173,76,AT,Austria
BE-DF-AT24,Arthur Theate,3,DF,24,183,78,BE,Belgium
BE-DF-JV37,Jan Vertonghen,5,DF,37,188,79,BE,Belgium
BE-DF-KD22,Koni De Winter,24,DF,22,188,-,BE,Belgium
BE-DF-TC28,Timothy Castagne,21,DF,28,183,80,BE,Belgium
BE-DF-TM32,Thomas Meunier,15,DF,32,191,90,BE,Belgium
BE-DF-WF26,Wout Faes,4,DF,26,185,84,BE,Belgium
BE-DF-ZD20,Zeno Debast,2,DF,20,188,73,BE,Belgium
BE-FW-CD23,Charles De Ketelaere,17,FW,23,191,74,BE,Belgium
BE-FW-DL26,Dodi Lukebakio,14,FW,26,185,77,BE,Belgium
BE-FW-JB21,Johan Bakayoko,19,FW,21,178,-,BE,Belgium
BE-FW-JD22,Jeremy Doku,7,FW,22,173,68,BE,Belgium
BE-FW-LO24,Lois Openda,9,FW,24,173,70,BE,Belgium
BE-FW-LT29,Leandro Trossard,11,FW,29,170,61,BE,Belgium
BE-FW-MB30,Michy Batshuayi,23,FW,30,183,78,BE,Belgium
BE-FW-OD24,Olivier Deman,16,FW,24,180,67,BE,Belgium
BE-FW-RL31,Romelu Lukaku,10,FW,31,188,93,BE,Belgium
BE-GK-AB26,Arnaud Bodart,25,GK,26,183,75,BE,Belgium
BE-GK-KC32,Koen Casteels,1,GK,32,196,78,BE,Belgium
BE-GK-MS32,Matz Sels,13,GK,32,188,75,BE,Belgium
BE-GK-TK31,Thomas Kaminski,12,GK,31,188,70,BE,Belgium
BE-MF-AO22,Amadou Onana,6,MF,22,191,76,BE,Belgium
BE-MF-AV19,Arthur Vermeeren,20,MF,19,175,-,BE,Belgium
BE-MF-AV21,Aster Vranckx,22,MF,21,183,78,BE,Belgium
BE-MF-OM26,Orel Mangala,18,MF,26,178,79,BE,Belgium
BE-MF-YT27,Youri Tielemans,8,MF,27,175,72,BE,Belgium
CH-DF-BO22,Becir Omeragić,24,DF,22,185,76,CH,Switzerland
CH-DF-CZ26,Cédric Zesiger,15,DF,26,193,88,CH,Switzerland
CH-DF-EC26,Eray Cömert,18,DF,26,183,80,CH,Switzerland
CH-DF-FS32,Fabián Schär,22,DF,32,185,85,CH,Switzerland
CH-DF-KM29,Kevin Mbabu,2,DF,29,183,80,CH,Switzerland
CH-DF-MA29,Manuel Akanji,5,DF,29,185,90,CH,Switzerland
CH-DF-NE27,Nico Elvedi,4,DF,27,188,84,CH,Switzerland
CH-DF-RR32,Ricardo Rodríguez,13,DF,32,178,81,CH,Switzerland
CH-DF-SW31,Silvan Widmer,3,DF,31,183,77,CH,Switzerland
CH-DF-UG28,Ulisses Garcia,15,DF,28,183,82,CH,Switzerland
CH-FW-DN23,Dan Ndoye,19,FW,23,183,78,CH,Switzerland
CH-FW-NO24,Noah Okafor,9,FW,24,183,85,CH,Switzerland
CH-FW-RS32,Renato Steffen,11,FW,32,168,65,CH,Switzerland
CH-FW-ZA23,Zeki Amdouni,7,FW,23,183,79,CH,Switzerland
CH-GK-Dv29,David von Ballmoos,21,GK,29,191,88,CH,Switzerland
CH-GK-GK26,Gregor Kobel,21,GK,26,193,88,CH,Switzerland
CH-GK-JO30,Jonas Omlin,12,GK,30,188,85,CH,Switzerland
CH-GK-YM30,Yvon Mvogo,12,GK,30,188,84,CH,Switzerland
CH-GK-YS35,Yann Sommer,1,GK,35,183,79,CH,Switzerland
CH-MF-DK26,Dereck Kutesa,26,MF,26,175,67,CH,Switzerland
CH-MF-DZ27,Denis Zakaria,6,MF,27,188,81,CH,Switzerland
CH-MF-GX31,Granit Xhaka,10,MF,31,185,80,CH,Switzerland
CH-MF-MA27,Michel Aebischer,20,MF,27,183,74,CH,Switzerland
CH-MF-RF32,Remo Freuler,8,MF,32,180,80,CH,Switzerland
CH-MF-RV26,Ruben Vargas,17,MF,26,178,68,CH,Switzerland
CH-MF-UB24,Uran Bislimi,16,MF,24,183,76,CH,Switzerland
CH-MF-VS28,Vincent Sierro,25,MF,28,185,79,CH,Switzerland
CH-MF-XS32,Xherdan Shaqiri,23,MF,32,168,78,CH,Switzerland
CZ-DF-AG23,Adam Gabriel,5,DF,23,188,84,CZ,Czechia
CZ-DF-DD26,David Douděra,18,DF,26,173,75,CZ,Czechia
CZ-DF-DJ24,David Jurásek,15,DF,24,183,77,CZ,Czechia
CZ-DF-DZ23,David Zima,2,DF,23,188,-,CZ,Czechia
CZ-DF-JZ32,Jaroslav Zelený,6,DF,32,188,81,CZ,Czechia
CZ-DF-RH24,Robin Hranáč,21,DF,24,190,-,CZ,Czechia
CZ-DF-TV23,Tomáš Vlček,17,DF,23,180,-,CZ,Czechia
