,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendimiento,,,,,,,,,,,,Expectativa,,,ACT,,Pases,,,,Transportes,,Tomas,,,,,,,,,,,,,
Fecha,Día,Comp,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posc,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Toques,Tkl,Int,Bloqueos,xG,npxG,xAG,ACT,ACG,Cmp,Int.,% Cmp,PrgP,Transportes,PrgC,Att,Succ,Informe del partido
3/25/2017,Sáb,WCQ,Primera ronda,Visitante,V 3–1,fr Francia,lu Luxemburgo,No,,13,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
3/28/2017,Mar,Partido amistoso (M),Partido amistoso (M),Local,D 0–2,fr Francia,es España,Sí,FW,64,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/9/2017,Vie,WCQ,Primera ronda,Visitante,D 1–2,fr Francia,se Suecia,No,,15,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/13/2017,Mar,Partido amistoso (M),Partido amistoso (M),Local,V 3–2,fr Francia,eng Inglaterra,Sí,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
8/31/2017,Jue,WCQ,Primera ronda,Local,V 4–0,fr Francia,nl Países Bajos,No,,15,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
9/3/2017,Dom,WCQ,Primera ronda,Local,E 0–0,fr Francia,lu Luxemburgo,Sí,RM,58,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
10/7/2017,Sáb,WCQ,Primera ronda,Visitante,V 1–0,fr Francia,bg Bulgaria,Sí,FW,84,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
10/10/2017,Mar,WCQ,Primera ronda,Local,V 2–1,fr Francia,by Bielorrusia,No,,30,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
11/10/2017,Vie,Partido amistoso (M),Partido amistoso (M),Local,V 2–0,fr Francia,wls Gales,Sí,RM,83,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
11/14/2017,Mar,Partido amistoso (M),Partido amistoso (M),Visitante,E 2–2,fr Francia,de Alemania,Sí,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
3/23/2018,Vie,Partido amistoso (M),Partido amistoso (M),Local,D 2–3,fr Francia,co Colombia,Sí,AM,65,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
3/27/2018,Mar,Partido amistoso (M),Partido amistoso (M),Visitante,V 3–1,fr Francia,ru Rusia,Sí,FW,85,2,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Informe del partido
5/28/2018,Lun,Partido amistoso (M),Partido amistoso (M),Local,V 2–0,fr Francia,ie Rep. of Ireland,Sí,FW,76,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/1/2018,Vie,Partido amistoso (M),Partido amistoso (M),Local,V 3–1,fr Francia,it Italia,Sí,FW,82,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/9/2018,Sáb,Partido amistoso (M),Partido amistoso (M),Local,E 1–1,fr Francia,us Estados Unidos de América,Sí,FW,87,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/16/2018,Sáb,Copa Mundial,Etapa de grupo,Neutral,V 2–1,fr Francia,au Australia,Sí,"RW,FW",90,0,0,0,0,1,1,0,0,34,1,0,1,0.1,0.1,0.1,5,0,19,22,86.4,2,23,1,6,4,Informe del partido
6/21/2018,Jue,Copa Mundial,Etapa de grupo,Neutral,V 1–0,fr Francia,pe Perú,Sí,RW,74,1,0,0,0,2,2,0,0,44,2,0,0,1.4,1.4,0,0,0,22,29,75.9,3,24,3,6,4,Informe del partido
6/26/2018,Mar,Copa Mundial,Etapa de grupo,Neutral,E 0–0,fr Francia,dk Dinamarca,No,RW,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,9,12,75,0,12,3,1,0,Informe del partido
6/30/2018,Sáb,Copa Mundial,Ronda de 16,Neutral,V 4–3,fr Francia,ar Argentina,Sí,RW,88,2,0,0,0,2,2,0,0,42,1,2,0,0.5,0.5,0,6,3,17,27,63,1,32,1,10,7,Informe del partido
7/6/2018,Vie,Copa Mundial,Cuartos de final,Neutral,V 2–0,fr Francia,uy Uruguay,Sí,RW,87,0,0,0,0,1,0,1,0,42,0,0,0,0.1,0.1,0,3,0,26,32,81.3,1,37,4,11,6,Informe del partido
7/10/2018,Mar,Copa Mundial,Semifinales,Neutral,V 1–0,fr Francia,be Bélgica,Sí,RW,90,0,0,0,0,0,0,1,0,44,1,0,0,0,0,1,9,0,23,30,76.7,3,37,7,12,7,Informe del partido
7/15/2018,Dom,Copa Mundial,Final,Neutral,V 4–2,fr Francia,hr Croacia,Sí,"RM,FW",90,1,0,0,0,2,2,0,0,32,1,0,2,0.1,0.1,0,2,0,9,16,56.3,1,18,4,7,4,Informe del partido
9/6/2018,Jue,Liga de las Naciones de la UEFA,Liga A,Visitante,E 0–0,fr Francia,de Alemania,Sí,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
9/9/2018,Dom,Liga de las Naciones de la UEFA,Liga A,Local,V 2–1,fr Francia,nl Países Bajos,Sí,AM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
,,,,,,,,,,,Rendimiento,,,,,,,,,,,,Expectativa,,,ACT,,Pases,,,,Transportes,,Tomas,,
Fecha,Día,Comp,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posc,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Toques,Tkl,Int,Bloqueos,xG,npxG,xAG,ACT,ACG,Cmp,Int.,% Cmp,PrgP,Transportes,PrgC,Att,Succ,Informe del partido
10/11/2018,Jue,Partido amistoso (M),Partido amistoso (M),Local,E 2–2,fr Francia,is Islandia,No,,31,1,0,1,1,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
10/16/2018,Mar,Liga de las Naciones de la UEFA,Liga A,Local,V 2–1,fr Francia,de Alemania,Sí,AM,85,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
11/16/2018,Vie,Liga de las Naciones de la UEFA,Liga A,Visitante,D 0–2,fr Francia,nl Países Bajos,Sí,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
11/20/2018,Mar,Partido amistoso (M),Partido amistoso (M),Local,V 1–0,fr Francia,uy Uruguay,Sí,AM,35,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
3/22/2019,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 4–1,fr Francia,md Moldavia,Sí,RM,90,1,0,0,0,3,3,1,0,,,0,,,,,,,,,,,,,,,Informe del partido
3/25/2019,Lun,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 4–0,fr Francia,is Islandia,Sí,AM,90,1,2,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/2/2019,Dom,Partido amistoso (M),Partido amistoso (M),Local,V 2–0,fr Francia,bo Bolivia,Sí,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/8/2019,Sáb,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,D 0–2,fr Francia,tr Turquía,Sí,FW,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/11/2019,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 4–0,fr Francia,ad Andorra,Sí,AM,90,1,1,0,0,4,2,0,0,,,2,,,,,,,,,,,,,,,Informe del partido
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
