Selección,Nombre,Posición
Portugal,Cristiano Ronaldo,Delantero centro
Portugal,Diogo Jota,Media Punta
Portugal,Gonçalo Ramos,Delantero Centro
Portugal,Joao Félix,Media Punta
Portugal,Rafael Leao,Extremo izquierdo
Italia,Federico Chiesa,Extremo derecho
Italia,Giacomo Raspadori,Media Punta
Italia,Mateo Retegui,Delantero centro
Italia,Mattia Zaccagni,Extremo derecho
Italia,Nicolò Zaniolo,Media Punta
Alemania,Niclas Fullkrug,Delantero centro
Alemania,Leroy Sané,Extremo derecho
Alemania,Florian Wirtz,Media Punta
Alemania,Thomas Muller,Media Punta
España,Álvaro Morata,Delantero centro
España,Ferran Torres,Extremo derecho
España,Mikel Oyarzabal,Extremo derecho
España,Lamine Yamal,Extremo derecho
Francia,Kylian Mbappé,Delantero centro
Francia,Antoine Griezmann,Media Punta
Francia,Ousmane Dembélé,Extremo derecho
Bélgica,Romelu Lukaku,Delantero centro
Bélgica,Charles De Ketelaere,Media Punta
Bélgica,Jérémy Doku,Extremo derecho
Inglaterra,Harry Kane,Delantero centro
Inglaterra,Phil Foden,Extremo izquierdo
Inglaterra,Bukayo Saka,Extremo derecho
Inglaterra,Jude Bellingham,Media Punta
Países Bajos,Memphis Depay,Delantero centro
Croacia,Ante Rebi?,Delantero centro
Croacia,Luka Modric,Media Punta
Polonia,Robert Lewandowski,Delantero centro
Republica checa,Patric Schick,Delantero centro
Republica checa,Adam Hlozek,Delantero centro
Hungria,Dominik Szoboszlai,Media Punta
Hungria,Roland Sallai,Delantero centro
Escocia,Che Adams,Delantero centro
Dinamarca,Rasmus Hojlund,Delantero centro
Dinamarca,Kasper Dolberg,Delantero centro
